roll_no,full_name,department_code,course_codes,needs_accessible_seat,email,date_of_birth
SWE25037,Julia Mwangi,SWE,SWE-101;SWE-102;SWE-103,no,julia.mwangi37@example.com,2004-10-06
SWE25038,Wei Sato,SWE,SWE-101;SWE-102;SWE-103,no,wei.sato38@example.com,2005-08-23
SWE25039,Jae Nwosu,SWE,SWE-101;SWE-102;SWE-103,no,jae.nwosu39@example.com,2006-03-16
SWE25040,Rosa Mehta,SWE,SWE-101;SWE-102;SWE-103,no,rosa.mehta40@example.com,2006-09-09
SWE25041,Abena Dimitrov,SWE,SWE-101;SWE-102;SWE-103,no,abena.dimitrov41@example.com,2006-06-06
SWE25042,Victor Petrov,SWE,SWE-101;SWE-102;SWE-103,no,victor.petrov42@example.com,2004-01-21
SWE25043,Sebastian Fonseca,SWE,SWE-101;SWE-102;SWE-103,no,sebastian.fonseca43@example.com,2006-02-02
SWE25044,Mei Patel,SWE,SWE-101;SWE-102;SWE-103,no,mei.patel44@example.com,2006-06-29
SWE25045,Sipho Nair,SWE,SWE-101;SWE-102;SWE-103,no,sipho.nair45@example.com,2005-10-17
SWE25047,Emeka Nwosu,SWE,SWE-101;SWE-102;SWE-103,no,emeka.nwosu47@example.com,2005-09-09
SWE25048,Lara Haddad,SWE,SWE-101;SWE-102;SWE-103,no,lara.haddad48@example.com,2005-11-20
SWE25049,Theo Rossi,SWE,SWE-101;SWE-102;SWE-103,no,theo.rossi49@example.com,2005-09-13
SWE25050,Liam Rao,SWE,SWE-101;SWE-102;SWE-103,no,liam.rao50@example.com,2006-06-15
SWE25051,Hana Zhang,SWE,SWE-101;SWE-102;SWE-103,no,hana.zhang51@example.com,2006-09-07
SWE25052,Rahul Nwosu,SWE,SWE-101;SWE-102;SWE-103,no,rahul.nwosu52@example.com,2006-01-10
SWE25053,Nia Dubois,SWE,SWE-101;SWE-102;SWE-103,no,nia.dubois53@example.com,2004-01-17
SWE25054,Nia Walsh,SWE,SWE-101;SWE-102;SWE-103,no,nia.walsh54@example.com,2006-04-30
SWE25055,Aiko Okafor,SWE,SWE-101;SWE-102;SWE-103,no,aiko.okafor55@example.com,2005-07-13
SWE25056,Oscar Kowalski,SWE,SWE-101;SWE-102;SWE-103,no,oscar.kowalski56@example.com,2006-08-31
SWE25057,Ayesha Mwangi,SWE,SWE-101;SWE-102;SWE-103,no,ayesha.mwangi57@example.com,2006-01-30
SWE25058,Lucia Rossi,SWE,SWE-101;SWE-102;SWE-103,no,lucia.rossi58@example.com,2004-05-27
SWE25059,Emma Kaur,SWE,SWE-101;SWE-102;SWE-103,no,emma.kaur59@example.com,2006-12-26
SWE25060,Hiro Costa,SWE,SWE-101;SWE-102;SWE-103,no,hiro.costa60@example.com,2006-05-16
SWE25061,Caleb Barros,SWE,SWE-101;SWE-102;SWE-103,no,caleb.barros61@example.com,2005-02-21
SWE25062,Jasmine Castillo,SWE,SWE-101;SWE-102;SWE-103,no,jasmine.castillo62@example.com,2006-01-31
SWE25063,Mei Yilmaz,SWE,SWE-101;SWE-102;SWE-103,no,mei.yilmaz63@example.com,2006-08-31
SWE25064,Wei Abara,SWE,SWE-101;SWE-102;SWE-103,no,wei.abara64@example.com,2006-09-29
SWE25065,Sakura Wang,SWE,SWE-101;SWE-102;SWE-103,no,sakura.wang65@example.com,2005-12-28
SWE25066,Divya Banerjee,SWE,SWE-101;SWE-102;SWE-103,no,divya.banerjee66@example.com,2006-04-10
SWE25067,Victor Tran,SWE,SWE-101;SWE-102;SWE-103,no,victor.tran67@example.com,2005-04-23
SWE25068,Sipho Sato,SWE,SWE-101;SWE-102;SWE-103,no,sipho.sato68@example.com,2005-04-28
SWE25069,Ibrahim Reyes,SWE,SWE-101;SWE-102;SWE-103,no,ibrahim.reyes69@example.com,2004-02-18
SWE25070,Astrid Nwosu,SWE,SWE-101;SWE-102;SWE-103,no,astrid.nwosu70@example.com,2006-12-11
DAN24001,Rhea Nair,DAN,DAN-201;DAN-202;DAN-203,no,rhea.nair1@example.com,2003-03-01
DAN24002,Chen Mehta,DAN,DAN-201;DAN-202;DAN-204,no,chen.mehta2@example.com,2005-11-28
DAN24003,Tariq Varga,DAN,DAN-201;DAN-202;DAN-203,no,tariq.varga3@example.com,2005-01-08
DAN24004,Leon Marino,DAN,DAN-201;DAN-202;DAN-204,no,leon.marino4@example.com,2003-06-25
DAN24005,Mohammed Tran,DAN,DAN-201;DAN-202;DAN-203,no,mohammed.tran5@example.com,2004-11-23
DAN24006,Nia Lambert,DAN,DAN-201;DAN-202;DAN-203,no,nia.lambert6@example.com,2003-07-31
DAN24007,Anika Chandra,DAN,DAN-201;DAN-202;DAN-204,no,anika.chandra7@example.com,2004-05-03
DAN24008,Farah Adeyemi,DAN,DAN-201;DAN-202;DAN-203,no,farah.adeyemi8@example.com,2003-05-10
DAN24009,Uma Garcia,DAN,DAN-201;DAN-202;DAN-203,no,uma.garcia9@example.com,2003-01-27
DAN24010,Mira Kowalski,DAN,DAN-201;DAN-202;DAN-203,no,mira.kowalski10@example.com,2005-08-13
DAN24011,Rhea Yilmaz,DAN,DAN-201;DAN-202;DAN-204,no,rhea.yilmaz11@example.com,2003-05-17
DAN24012,David Rao,DAN,DAN-201;DAN-202;DAN-203,no,david.rao12@example.com,2004-05-27
DAN24013,Lucia Zhou,DAN,DAN-201;DAN-202;DAN-204,no,lucia.zhou13@example.com,2005-10-23
DAN24014,Yara Walsh,DAN,DAN-201;DAN-202;DAN-204,no,yara.walsh14@example.com,2005-09-02
DAN24015,Astrid Pereira,DAN,DAN-201;DAN-202;DAN-203,no,astrid.pereira15@example.com,2005-03-10
DAN24016,Sipho Suzuki,DAN,DAN-201;DAN-202;DAN-204,no,sipho.suzuki16@example.com,2003-11-25
DAN24017,Sara Mwangi,DAN,DAN-201;DAN-202;DAN-204,no,sara.mwangi17@example.com,2005-04-14
DAN24018,Gabriel Tran,DAN,DAN-201;DAN-202;DAN-204,no,gabriel.tran18@example.com,2005-01-20
DAN24019,Leila Park,DAN,DAN-201;DAN-202;DAN-203,no,leila.park19@example.com,2004-01-06
DAN24020,Uma Mwangi,DAN,DAN-201;DAN-202;DAN-203,no,uma.mwangi20@example.com,2004-06-23
DAN24021,Lucia Ibrahim,DAN,DAN-201;DAN-202;DAN-203,no,lucia.ibrahim21@example.com,2003-05-23
DAN24022,Elena Okafor,DAN,DAN-201;DAN-202;DAN-204,no,elena.okafor22@example.com,2004-10-15
DAN24023,Kavya Nwosu,DAN,DAN-201;DAN-202;DAN-203,no,kavya.nwosu23@example.com,2003-03-07
DAN24024,Ayesha Adeyemi,DAN,DAN-201;DAN-202;DAN-203,no,ayesha.adeyemi24@example.com,2003-11-26
DAN24025,Rhea Kumar,DAN,DAN-201;DAN-202;DAN-204,no,rhea.kumar25@example.com,2005-07-08
DAN24026,Omar Rossi,DAN,DAN-201;DAN-202;DAN-204,no,omar.rossi26@example.com,2005-02-11
DAN24027,Victor Dimitrov,DAN,DAN-201;DAN-202;DAN-203,no,victor.dimitrov27@example.com,2005-11-16
DAN24028,Yara Moreau,DAN,DAN-201;DAN-202;DAN-203,no,yara.moreau28@example.com,2004-05-14
DAN24029,Sakura Reyes,DAN,DAN-201;DAN-202;DAN-203,no,sakura.reyes29@example.com,2003-06-23
DAN24030,Imani Mensah,DAN,DAN-201;DAN-202;DAN-203,no,imani.mensah30@example.com,2003-12-17
DAN24031,Tariq Oliveira,DAN,DAN-201;DAN-202;DAN-204,no,tariq.oliveira31@example.com,2005-11-29
DAN24033,Anika Andersen,DAN,DAN-201;DAN-202;DAN-204,no,anika.andersen33@example.com,2003-09-07
DAN24034,Rohan Wang,DAN,DAN-201;DAN-202;DAN-204,no,rohan.wang34@example.com,2005-08-19
DAN24035,Oscar Nwosu,DAN,DAN-201;DAN-202;DAN-203,no,oscar.nwosu35@example.com,2003-01-05
DAN24036,Elif Dubois,DAN,DAN-201;DAN-202;DAN-204,no,elif.dubois36@example.com,2003-07-07
DAN24037,Aiko Rao,DAN,DAN-201;DAN-202;DAN-203,no,aiko.rao37@example.com,2003-04-29
DAN24039,Fatima Farouk,DAN,DAN-201;DAN-202;DAN-203,no,fatima.farouk39@example.com,2003-04-18
DAN24040,Nora Okafor,DAN,DAN-201;DAN-202;DAN-204,no,nora.okafor40@example.com,2005-11-10
DAN24041,Yara Iyer,DAN,DAN-201;DAN-202;DAN-204,no,yara.iyer41@example.com,2003-05-22
DAN24042,Nadia Andersen,DAN,DAN-201;DAN-202;DAN-203,no,nadia.andersen42@example.com,2003-10-10
DAN24043,Alejandro Kaur,DAN,DAN-201;DAN-202;DAN-203,no,alejandro.kaur43@example.com,2003-06-09
DAN24044,Ananya Nakamura,DAN,DAN-201;DAN-202;DAN-204,no,ananya.nakamura44@example.com,2004-09-19
DAN24045,Leila Eriksen,DAN,DAN-201;DAN-202;DAN-204,no,leila.eriksen45@example.com,2004-10-31
DAN24047,Isaac Alvarez,DAN,DAN-201;DAN-202;DAN-203,no,isaac.alvarez47@example.com,2005-03-31
DAN24048,Sara Novak,DAN,DAN-201;DAN-202;DAN-203,no,sara.novak48@example.com,2004-11-16
DAN24049,Omar Kaur,DAN,DAN-201;DAN-202;DAN-203,no,omar.kaur49@example.com,2003-03-01
DAN24050,Arjun Schmidt,DAN,DAN-201;DAN-202;DAN-203,no,arjun.schmidt50@example.com,2004-12-19
DAN24051,Dara Gallagher,DAN,DAN-201;DAN-202;DAN-204,no,dara.gallagher51@example.com,2004-11-03
DAN24052,Samir Dubois,DAN,DAN-201;DAN-202;DAN-203,no,samir.dubois52@example.com,2004-11-28
DAN24053,Sebastian Park,DAN,DAN-201;DAN-202;DAN-203,no,sebastian.park53@example.com,2003-08-11
DAN24054,Yara Larsen,DAN,DAN-201;DAN-202;DAN-203,no,yara.larsen54@example.com,2005-06-30
DAN24056,Sebastian Okafor,DAN,DAN-201;DAN-202;DAN-203,no,sebastian.okafor56@example.com,2004-08-20
DAN24057,Hiro Abara,DAN,DAN-201;DAN-202;DAN-204,no,hiro.abara57@example.com,2003-07-26
DAN24058,Jasmine Mahmoud,DAN,DAN-201;DAN-202;DAN-204,no,jasmine.mahmoud58@example.com,2003-09-03
DAN24059,Ayesha Park,DAN,DAN-201;DAN-202;DAN-204,no,ayesha.park59@example.com,2003-04-15
DAN24060,Sipho Rao,DAN,DAN-201;DAN-202;DAN-203,no,sipho.rao60@example.com,2003-03-24
DAN24061,Gabriel Larsen,DAN,DAN-201;DAN-202;DAN-203,no,gabriel.larsen61@example.com,2003-04-19
DAN24062,Sipho Bauer,DAN,DAN-201;DAN-202;DAN-203,no,sipho.bauer62@example.com,2005-10-25
DAN24063,Nadia Marino,DAN,DAN-201;DAN-202;DAN-204,no,nadia.marino63@example.com,2004-01-16
DAN24064,Paulo Varga,DAN,DAN-201;DAN-202;DAN-203,no,paulo.varga64@example.com,2003-05-05
DAN25002,Elif Ibrahim,DAN,DAN-101;DAN-102;DAN-103,no,elif.ibrahim2@example.com,2006-05-22
DAN25003,Joao Fonseca,DAN,DAN-101;DAN-102;DAN-103,no,joao.fonseca3@example.com,2005-08-04
DAN25004,Felix Dubois,DAN,DAN-101;DAN-102;DAN-103,no,felix.dubois4@example.com,2005-03-24
DAN25005,Julia Hansen,DAN,DAN-101;DAN-102;DAN-103,no,julia.hansen5@example.com,2004-09-13
DAN25007,Bianca Farouk,DAN,DAN-101;DAN-102;DAN-103,no,bianca.farouk7@example.com,2004-04-01
DAN25008,Rosa Bauer,DAN,DAN-101;DAN-102;DAN-103,no,rosa.bauer8@example.com,2004-08-19
DAN25009,Sara Dubois,DAN,DAN-101;DAN-102;DAN-103,no,sara.dubois9@example.com,2005-08-19
DAN25010,Diego Quinn,DAN,DAN-101;DAN-102;DAN-103,no,diego.quinn10@example.com,2005-01-02
DAN25011,Zara Fischer,DAN,DAN-101;DAN-102;DAN-103,no,zara.fischer11@example.com,2005-06-26
DAN25012,Farah Okafor,DAN,DAN-101;DAN-102;DAN-103,no,farah.okafor12@example.com,2004-01-11
DAN25013,Zoe Pereira,DAN,DAN-101;DAN-102;DAN-103,no,zoe.pereira13@example.com,2006-08-17
DAN25014,Oscar Walsh,DAN,DAN-101;DAN-102;DAN-103,no,oscar.walsh14@example.com,2004-02-07
DAN25015,Mohammed Ibrahim,DAN,DAN-101;DAN-102;DAN-103,no,mohammed.ibrahim15@example.com,2006-10-29
DAN25016,Nadia Eriksen,DAN,DAN-101;DAN-102;DAN-103,no,nadia.eriksen16@example.com,2005-09-28
DAN25017,Naveen Rao,DAN,DAN-101;DAN-102;DAN-103,no,naveen.rao17@example.com,2005-02-09
DAN25018,Hannah Sen,DAN,DAN-101;DAN-102;DAN-103,no,hannah.sen18@example.com,2004-02-05
DAN25019,Leon Costa,DAN,DAN-101;DAN-102;DAN-103,no,leon.costa19@example.com,2006-09-25
DAN25020,Chen Banerjee,DAN,DAN-101;DAN-102;DAN-103,no,chen.banerjee20@example.com,2005-09-26
DAN25021,Nia Kaur,DAN,DAN-101;DAN-102;DAN-103,no,nia.kaur21@example.com,2006-12-19
DAN25022,Noah Haddad,DAN,DAN-101;DAN-102;DAN-103,no,noah.haddad22@example.com,2006-10-02
DAN25023,Emma Kim,DAN,DAN-101;DAN-102;DAN-103,no,emma.kim23@example.com,2006-12-24
DAN25024,Mohammed Yilmaz,DAN,DAN-101;DAN-102;DAN-103,no,mohammed.yilmaz24@example.com,2004-08-14
DAN25025,Diego Zhou,DAN,DAN-101;DAN-102;DAN-103,no,diego.zhou25@example.com,2004-12-05
DAN25026,Emma Haddad,DAN,DAN-101;DAN-102;DAN-103,no,emma.haddad26@example.com,2004-03-20
DAN25027,Yusuf Sen,DAN,DAN-101;DAN-102;DAN-103,no,yusuf.sen27@example.com,2006-07-12
DAN25028,Leon Larsen,DAN,DAN-101;DAN-102;DAN-103,no,leon.larsen28@example.com,2006-02-26
DAN25030,Anika Adeyemi,DAN,DAN-101;DAN-102;DAN-103,no,anika.adeyemi30@example.com,2005-10-12
DAN25031,Kavya Lopez,DAN,DAN-101;DAN-102;DAN-103,no,kavya.lopez31@example.com,2006-12-29
DAN25032,Theo Quinn,DAN,DAN-101;DAN-102;DAN-103,no,theo.quinn32@example.com,2005-12-30
DAN25033,Andrei Chandra,DAN,DAN-101;DAN-102;DAN-103,no,andrei.chandra33@example.com,2004-12-27
DAN25034,Elena Nakamura,DAN,DAN-101;DAN-102;DAN-103,no,elena.nakamura34@example.com,2005-11-19
DAN25036,Diego Osei,DAN,DAN-101;DAN-102;DAN-103,no,diego.osei36@example.com,2005-06-24
DAN25037,Imani Lambert,DAN,DAN-101;DAN-102;DAN-103,no,imani.lambert37@example.com,2006-01-05
DAN25038,Irene Dubois,DAN,DAN-101;DAN-102;DAN-103,no,irene.dubois38@example.com,2006-10-17
DAN25039,Adele Novak,DAN,DAN-101;DAN-102;DAN-103,no,adele.novak39@example.com,2004-03-06
DAN25040,Rhea Larsen,DAN,DAN-101;DAN-102;DAN-103,no,rhea.larsen40@example.com,2006-12-18
DAN25041,Anika Mwangi,DAN,DAN-101;DAN-102;DAN-103,no,anika.mwangi41@example.com,2004-10-22
DAN25042,Mateo Farouk,DAN,DAN-101;DAN-102;DAN-103,no,mateo.farouk42@example.com,2004-05-01
DAN25043,Sipho Rossi,DAN,DAN-101;DAN-102;DAN-103,no,sipho.rossi43@example.com,2006-04-23
DAN25044,Sofia Alvarez,DAN,DAN-101;DAN-102;DAN-103,no,sofia.alvarez44@example.com,2005-09-20
DAN25045,Javier Larsen,DAN,DAN-101;DAN-102;DAN-103,no,javier.larsen45@example.com,2004-01-16
DAN25046,Ananya Okafor,DAN,DAN-101;DAN-102;DAN-103,no,ananya.okafor46@example.com,2006-04-04
DAN25047,Arjun Lambert,DAN,DAN-101;DAN-102;DAN-103,no,arjun.lambert47@example.com,2005-07-11
DAN25048,Sebastian Zhou,DAN,DAN-101;DAN-102;DAN-103,no,sebastian.zhou48@example.com,2004-10-21
DAN25049,Irene Tran,DAN,DAN-101;DAN-102;DAN-103,no,irene.tran49@example.com,2004-09-26
DAN25050,Lucia Novak,DAN,DAN-101;DAN-102;DAN-103,no,lucia.novak50@example.com,2005-07-04
DAN25051,Ibrahim Park,DAN,DAN-101;DAN-102;DAN-103,no,ibrahim.park51@example.com,2005-02-18
DAN25052,Naveen Rossi,DAN,DAN-101;DAN-102;DAN-103,no,naveen.rossi52@example.com,2005-05-21
DAN25053,Naveen Lambert,DAN,DAN-101;DAN-102;DAN-103,no,naveen.lambert53@example.com,2005-02-15
DAN25054,Hana Sato,DAN,DAN-101;DAN-102;DAN-103,no,hana.sato54@example.com,2005-09-10
DAN25055,Wei Silva,DAN,DAN-101;DAN-102;DAN-103,no,wei.silva55@example.com,2004-10-17
DAN25056,Hiro Banerjee,DAN,DAN-101;DAN-102;DAN-103,no,hiro.banerjee56@example.com,2006-02-02
DAN25057,Bianca Wang,DAN,DAN-101;DAN-102;DAN-103,no,bianca.wang57@example.com,2004-06-22
DAN25058,Irene Mahmoud,DAN,DAN-101;DAN-102;DAN-103,no,irene.mahmoud58@example.com,2005-03-07
DAN25059,Imani Verma,DAN,DAN-101;DAN-102;DAN-103,no,imani.verma59@example.com,2006-11-08
DAN25060,Chloe Singh,DAN,DAN-101;DAN-102;DAN-103,yes,chloe.singh60@example.com,2005-01-09
DAN25061,Farah Walsh,DAN,DAN-101;DAN-102;DAN-103,no,farah.walsh61@example.com,2004-06-24
DAN25062,Paulo Chowdhury,DAN,DAN-101;DAN-102;DAN-103,no,paulo.chowdhury62@example.com,2005-07-29
DAN25063,Rosa Zhang,DAN,DAN-101;DAN-102;DAN-103,no,rosa.zhang63@example.com,2006-08-14
DAN25064,Samir Hansen,DAN,DAN-101;DAN-102;DAN-103,no,samir.hansen64@example.com,2004-06-24
DAN25066,Aiko Sen,DAN,DAN-101;DAN-102;DAN-103,no,aiko.sen66@example.com,2005-07-24
DAN25067,Tariq Fonseca,DAN,DAN-101;DAN-102;DAN-103,no,tariq.fonseca67@example.com,2005-08-10
DAN25068,Rosa Tanaka,DAN,DAN-101;DAN-102;DAN-103,no,rosa.tanaka68@example.com,2005-12-21
DAN25069,Zoe Nwosu,DAN,DAN-101;DAN-102;DAN-103,no,zoe.nwosu69@example.com,2006-04-02
DAN25070,Nora Costa,DAN,DAN-101;DAN-102;DAN-103,no,nora.costa70@example.com,2004-12-24
MCD24001,Hannah Suzuki,MCD,MCD-201;MCD-202;MCD-203,no,hannah.suzuki1@example.com,2004-11-11
MCD24002,Elena Castillo,MCD,MCD-201;MCD-202;MCD-204,no,elena.castillo2@example.com,2005-05-27
MCD24003,Noah Pereira,MCD,MCD-201;MCD-202;MCD-204,no,noah.pereira3@example.com,2003-01-26
MCD24004,Hiro Castillo,MCD,MCD-201;MCD-202;MCD-203,no,hiro.castillo4@example.com,2003-02-28
MCD24005,Gabriel Sato,MCD,MCD-201;MCD-202;MCD-203,no,gabriel.sato5@example.com,2004-01-08
MCD24006,Hannah Rossi,MCD,MCD-201;MCD-202;MCD-203,no,hannah.rossi6@example.com,2005-07-01
MCD24007,Camila Larsen,MCD,MCD-201;MCD-202;MCD-203,no,camila.larsen7@example.com,2004-03-07
MCD24008,Lina Osei,MCD,MCD-201;MCD-202;MCD-204,no,lina.osei8@example.com,2003-01-20
MCD24009,Adele Quinn,MCD,MCD-201;MCD-202;MCD-203,no,adele.quinn9@example.com,2004-04-03
MCD24010,Nora Bauer,MCD,MCD-201;MCD-202;MCD-204,no,nora.bauer10@example.com,2003-09-02
MCD24011,Hiro Gallagher,MCD,MCD-201;MCD-202;MCD-204,no,hiro.gallagher11@example.com,2004-08-14
MCD24012,Gabriel Park,MCD,MCD-201;MCD-202;MCD-203,no,gabriel.park12@example.com,2004-01-08
MCD24013,Alejandro Wang,MCD,MCD-201;MCD-202;MCD-203,no,alejandro.wang13@example.com,2005-03-01
MCD24014,Hannah Haddad,MCD,MCD-201;MCD-202;MCD-203,no,hannah.haddad14@example.com,2005-09-04
MCD24016,Theo Wagner,MCD,MCD-201;MCD-202;MCD-204,yes,theo.wagner16@example.com,2004-08-07
MCD24017,Ishaan Dimitrov,MCD,MCD-201;MCD-202;MCD-203,no,ishaan.dimitrov17@example.com,2003-08-26
MCD24018,Nia Nair,MCD,MCD-201;MCD-202;MCD-204,no,nia.nair18@example.com,2003-11-16
MCD24019,Hiro Larsen,MCD,MCD-201;MCD-202;MCD-204,no,hiro.larsen19@example.com,2005-01-25
MCD24020,Bianca Lopez,MCD,MCD-201;MCD-202;MCD-204,no,bianca.lopez20@example.com,2005-11-04
MCD24021,Mohammed Novak,MCD,MCD-201;MCD-202;MCD-204,no,mohammed.novak21@example.com,2004-10-23
MCD24022,Hiro Nakamura,MCD,MCD-201;MCD-202;MCD-203,no,hiro.nakamura22@example.com,2003-04-09
MCD24023,Aarav Verma,MCD,MCD-201;MCD-202;MCD-204,no,aarav.verma23@example.com,2003-08-05
MCD24024,Diego Banerjee,MCD,MCD-201;MCD-202;MCD-204,no,diego.banerjee24@example.com,2004-02-23
MCD24025,Liam Haddad,MCD,MCD-201;MCD-202;MCD-203,no,liam.haddad25@example.com,2005-08-10
MCD24026,Lucia Iyer,MCD,MCD-201;MCD-202;MCD-203,no,lucia.iyer26@example.com,2003-06-29
MCD24027,Hannah Adeyemi,MCD,MCD-201;MCD-202;MCD-203,no,hannah.adeyemi27@example.com,2003-01-20
MCD24028,Felix Osei,MCD,MCD-201;MCD-202;MCD-203,no,felix.osei28@example.com,2004-05-02
MCD24029,Camila Verma,MCD,MCD-201;MCD-202;MCD-204,no,camila.verma29@example.com,2003-11-25
MCD24030,Ayesha Kumar,MCD,MCD-201;MCD-202;MCD-203,no,ayesha.kumar30@example.com,2004-07-11
MCD24031,Theo Abara,MCD,MCD-201;MCD-202;MCD-203,no,theo.abara31@example.com,2004-12-27
MCD24032,Fatima Adeyemi,MCD,MCD-201;MCD-202;MCD-204,no,fatima.adeyemi32@example.com,2005-06-26
MCD24033,Oscar Alvarez,MCD,MCD-201;MCD-202;MCD-204,no,oscar.alvarez33@example.com,2003-08-17
MCD24035,Divya Sen,MCD,MCD-201;MCD-202;MCD-204,no,divya.sen35@example.com,2004-10-02
MCD24036,Leon Chowdhury,MCD,MCD-201;MCD-202;MCD-204,no,leon.chowdhury36@example.com,2005-05-22
MCD24037,Yusuf Andersen,MCD,MCD-201;MCD-202;MCD-204,no,yusuf.andersen37@example.com,2003-02-10
MCD24038,Dara Haddad,MCD,MCD-201;MCD-202;MCD-203,no,dara.haddad38@example.com,2005-10-14
MCD24039,Victor Fischer,MCD,MCD-201;MCD-202;MCD-204,no,victor.fischer39@example.com,2003-10-25
MCD24040,Amara Quinn,MCD,MCD-201;MCD-202;MCD-204,no,amara.quinn40@example.com,2003-11-07
MCD24041,Mira Lambert,MCD,MCD-201;MCD-202;MCD-204,no,mira.lambert41@example.com,2005-12-07
MCD24042,Zara Verma,MCD,MCD-201;MCD-202;MCD-204,no,zara.verma42@example.com,2005-08-07
MCD24043,Irene Dimitrov,MCD,MCD-201;MCD-202;MCD-203,no,irene.dimitrov43@example.com,2005-02-20
MCD24044,Rahul Petrov,MCD,MCD-201;MCD-202;MCD-203,no,rahul.petrov44@example.com,2004-03-14
MCD24045,Elif Mehta,MCD,MCD-201;MCD-202;MCD-204,no,elif.mehta45@example.com,2005-02-27
MCD24046,Divya Costa,MCD,MCD-201;MCD-202;MCD-203,no,divya.costa46@example.com,2005-05-09
MCD24047,Ahmed Barros,MCD,MCD-201;MCD-202;MCD-204,no,ahmed.barros47@example.com,2003-11-24
MCD24048,Farah Mehta,MCD,MCD-201;MCD-202;MCD-203,no,farah.mehta48@example.com,2003-11-20
MCD24049,Gabriel Walsh,MCD,MCD-201;MCD-202;MCD-204,no,gabriel.walsh49@example.com,2004-06-13
MCD24051,David Nakamura,MCD,MCD-201;MCD-202;MCD-203,no,david.nakamura51@example.com,2004-05-29
MCD24052,Nia Dimitrov,MCD,MCD-201;MCD-202;MCD-203,no,nia.dimitrov52@example.com,2005-03-09
MCD24053,Lina Alvarez,MCD,MCD-201;MCD-202;MCD-203,no,lina.alvarez53@example.com,2003-08-10
MCD24054,Rahul Ibrahim,MCD,MCD-201;MCD-202;MCD-204,no,rahul.ibrahim54@example.com,2005-08-30
MCD24055,Bianca Larsen,MCD,MCD-201;MCD-202;MCD-203,no,bianca.larsen55@example.com,2005-03-13
MCD24056,Wei Gallagher,MCD,MCD-201;MCD-202;MCD-203,no,wei.gallagher56@example.com,2004-06-17
MCD24057,Aarav Farouk,MCD,MCD-201;MCD-202;MCD-204,no,aarav.farouk57@example.com,2005-11-26
MCD24058,Ishaan Hoang,MCD,MCD-201;MCD-202;MCD-203,no,ishaan.hoang58@example.com,2004-03-03
MCD25002,Nora Nakamura,MCD,MCD-101;MCD-102;MCD-103,no,nora.nakamura2@example.com,2006-07-27
MCD25003,Mei Costa,MCD,MCD-101;MCD-102;MCD-103,no,mei.costa3@example.com,2005-07-30
MCD25004,Ishaan Schmidt,MCD,MCD-101;MCD-102;MCD-103,no,ishaan.schmidt4@example.com,2005-07-05
MCD25005,Samir Kamau,MCD,MCD-101;MCD-102;MCD-103,no,samir.kamau5@example.com,2005-03-05
MCD25006,Tessa Kaur,MCD,MCD-101;MCD-102;MCD-103,yes,tessa.kaur6@example.com,2006-07-19
MCD25007,Rania Gallagher,MCD,MCD-101;MCD-102;MCD-103,no,rania.gallagher7@example.com,2005-07-29
MCD25008,Mohammed Verma,MCD,MCD-101;MCD-102;MCD-103,no,mohammed.verma8@example.com,2004-10-11
MCD25009,Mohammed Silva,MCD,MCD-101;MCD-102;MCD-103,no,mohammed.silva9@example.com,2005-02-03
MCD25010,Victor Andersen,MCD,MCD-101;MCD-102;MCD-103,no,victor.andersen10@example.com,2006-05-14
MCD25011,Camila Hansen,MCD,MCD-101;MCD-102;MCD-103,no,camila.hansen11@example.com,2004-05-05
MCD25012,Theo Mahmoud,MCD,MCD-101;MCD-102;MCD-103,no,theo.mahmoud12@example.com,2006-11-15
MCD25013,Tariq Barros,MCD,MCD-101;MCD-102;MCD-103,no,tariq.barros13@example.com,2006-03-04
MCD25014,Victor Osei,MCD,MCD-101;MCD-102;MCD-103,no,victor.osei14@example.com,2006-06-13
MCD25015,Victor Castillo,MCD,MCD-101;MCD-102;MCD-103,no,victor.castillo15@example.com,2005-07-08
MCD25016,Kofi Gallagher,MCD,MCD-101;MCD-102;MCD-103,no,kofi.gallagher16@example.com,2005-09-25
MCD25017,Victor Varga,MCD,MCD-101;MCD-102;MCD-103,no,victor.varga17@example.com,2004-02-10
MCD25018,Liam Kamau,MCD,MCD-101;MCD-102;MCD-103,no,liam.kamau18@example.com,2004-07-27
MCD25019,Anika Ibrahim,MCD,MCD-101;MCD-102;MCD-103,no,anika.ibrahim19@example.com,2004-07-05
MCD25020,Yusuf Kim,MCD,MCD-101;MCD-102;MCD-103,no,yusuf.kim20@example.com,2004-10-27
MCD25021,Jae Nakamura,MCD,MCD-101;MCD-102;MCD-103,no,jae.nakamura21@example.com,2004-02-19
MCD25022,Camila Andersen,MCD,MCD-101;MCD-102;MCD-103,no,camila.andersen22@example.com,2005-01-31
MCD25023,Wei Bauer,MCD,MCD-101;MCD-102;MCD-103,no,wei.bauer23@example.com,2004-10-02
MCD25024,Samir Lopez,MCD,MCD-101;MCD-102;MCD-103,no,samir.lopez24@example.com,2006-09-27
MCD25025,Elif Kamau,MCD,MCD-101;MCD-102;MCD-103,no,elif.kamau25@example.com,2005-08-29
MCD25026,Tessa Costa,MCD,MCD-101;MCD-102;MCD-103,no,tessa.costa26@example.com,2006-04-14
MCD25027,Javier Walsh,MCD,MCD-101;MCD-102;MCD-103,no,javier.walsh27@example.com,2005-04-16
